name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
afador,Mixed Breed Dogs,2,3,3,4,4,50,73,22,34,10,12
affenhuahua,Mixed Breed Dogs,3,3,3,3,3,15,30,1,5,13,18
affenpinscher,Companion Dogs,3,3,2,3,4,22,27,3,4,12,14
afghan-hound,Hound Dogs,4,4,2,3,4,60,66,22,27,10,12
airedale-terrier,Terrier Dogs,2,4,3,5,5,53,58,18,29,10,13
akbash,Working Dogs,3,4,4,3,2,68,86,34,63,10,12
akita,Working Dogs,3,2,4,4,4,,,31,58,10,12
akita-chow,Mixed Breed Dogs,3,1,3,3,4,58,63,39,65,10,12
akita-pit,Mixed Breed Dogs,3,3,4,3,3,40,58,13,31,10,12
akita-shepherd,Mixed Breed Dogs,3,3,3,3,3,60,71,34,54,10,13
alaskan-klee-kai,Companion Dogs,3,3,3,4,4,33,43,4,6,12,16
alaskan-malamute,Working Dogs,2,4,3,4,5,,,34,45,12,15
american-bulldog,Working Dogs,2,3,3,3,4,50,71,27,54,10,16
american-english-coonhound,Hound Dogs,3,5,3,5,5,58,66,,,10,12
american-eskimo-dog,Companion Dogs,4,5,3,4,4,38,48,13,13,12,15
american-foxhound,Hound Dogs,2,5,4,4,5,53,63,18,27,12,13
american-hairless-terrier,Terrier Dogs,3,4,3,3,4,30,40,4,7,13,16
american-leopard-hound,Hound Dogs,3,4,3,4,4,53,68,15,34,12,15
american-pit-bull-terrier,Terrier Dogs,3,4,3,4,5,43,48,13,38,12,16
american-pugabull,Mixed Breed Dogs,3,4,3,3,4,30,50,11,31,12,14
american-staffordshire-terrier,Terrier Dogs,2,4,3,4,4,40,48,18,27,10,15
american-water-spaniel,Sporting Dogs,3,4,3,4,4,,,11,20,12,15
anatolian-shepherd-dog,Working Dogs,3,2,3,3,3,,,36,68,11,13
appenzeller-sennenhunde,Herding Dogs,3,4,3,4,4,48,55,21,24,9,12
auggie,Mixed Breed Dogs,3,5,3,4,5,25,33,9,13,12,15
aussiedoodle,Mixed Breed Dogs,3,4,4,4,5,25,38,11,31,10,13
aussiepom,Mixed Breed Dogs,3,4,3,3,4,27,43,4,13,12,15
australian-cattle-dog,Herding Dogs,3,4,3,4,5,43,50,13,22,12,15
australian-kelpie,Herding Dogs,3,3,3,5,4,38,50,11,20,10,15
australian-retriever,Mixed Breed Dogs,3,4,3,3,4,48,58,11,27,12,15
australian-shepherd,Herding Dogs,3,4,2,5,5,45,58,18,29,12,15
australian-shepherd-husky,Mixed Breed Dogs,3,3,3,4,5,45,63,18,29,12,15
australian-shepherd-lab-mix,Mixed Breed Dogs,4,4,4,4,5,55,63,18,36,12,15
australian-shepherd-pit-bull-mix,Mixed Breed Dogs,3,4,4,3,4,43,58,13,38,10,16
australian-stumpy-tail-cattle-dog,Herding Dogs,3,3,3,3,4,43,50,15,23,13,15
australian-terrier,Terrier Dogs,3,3,3,4,5,25,27,6,7,15,15
azawakh,Hound Dogs,3,3,3,3,3,58,68,14,24,12,15
barbet,Sporting Dogs,3,4,2,3,4,50,63,16,28,13,15
basenji,Hound Dogs,4,5,2,4,3,40,43,9,10,10,12
bassador,Mixed Breed Dogs,3,3,4,3,3,33,50,20,31,10,12
basset-fauve-de-bretagne,Hound Dogs,3,4,3,3,3,30,38,11,15,12,15
basset-hound,Hound Dogs,3,5,4,4,2,35,35,22,29,10,12
basset-retriever,Mixed Breed Dogs,3,4,3,4,4,25,35,18,31,10,12
bavarian-mountain-scent-hound,Hound Dogs,2,4,3,3,4,43,50,19,24,10,14
beabull,Mixed Breed Dogs,3,4,4,4,4,30,40,13,27,10,13
beagle,Hound Dogs,3,5,3,4,5,33,38,8,13,10,15
beaglier,Mixed Breed Dogs,3,5,3,3,4,30,40,4,9,10,15
bearded-collie,Herding Dogs,3,5,3,4,4,50,55,20,24,12,14
bedlington-terrier,Terrier Dogs,4,5,3,4,4,38,40,7,10,14,16
belgian-malinois,Herding Dogs,3,4,3,4,5,55,66,18,36,12,14
belgian-sheepdog,Herding Dogs,4,5,3,4,5,55,66,27,34,10,12
belgian-tervuren,Herding Dogs,3,3,3,4,4,53,66,18,31,10,12
bergamasco-sheepdog,Herding Dogs,3,4,3,3,3,50,60,24,38,13,15
berger-picard,Herding Dogs,4,4,4,3,5,,,22,31,13,14
bernedoodle,Mixed Breed Dogs,3,4,3,4,4,25,73,4,40,12,18
bernese-mountain-dog,Working Dogs,2,5,4,4,4,58,71,31,52,6,10
bichon-frise,Companion Dogs,4,5,2,3,4,22,27,3,5,12,15
biewer-terrier,Terrier Dogs,3,4,2,3,4,17,27,1,3,12,15
black-and-tan-coonhound,Hound Dogs,3,5,4,4,5,58,68,34,45,10,12
black-mouth-cur,Working Dogs,3,4,3,4,4,40,63,18,43,12,18
black-russian-terrier,Working Dogs,3,3,3,3,4,66,71,36,63,10,11
bloodhound,Hound Dogs,3,5,3,4,4,58,68,36,49,11,15
blue-lacy,Working Dogs,3,3,3,5,5,43,63,11,22,12,16
bluetick-coonhound,Hound Dogs,3,4,3,4,5,58,76,20,45,10,12
bocker,Mixed Breed Dogs,4,4,3,5,4,30,38,9,13,12,15
boerboel,Working Dogs,2,3,4,3,4,55,71,49,90,10,12
boglen-terrier,Mixed Breed Dogs,3,5,3,4,5,30,43,4,18,10,15
bohemian-shepherd,Herding Dogs,3,4,3,3,4,48,55,15,27,10,15
bolognese,Companion Dogs,3,5,2,4,3,22,30,3,6,12,14
borador,Hybrid Dogs,3,4,4,3,4,48,60,18,29,10,15
